,domain,feature,id,miss_test,miss_test_neg,miss_test_pos,miss_train,miss_train_neg,miss_train_pos,n_test_neg,n_test_pos,n_train_neg,n_train_pos,numeric,odds_ratio_test,odds_ratio_train,tl,unit
10,inputs,amount clonidin,i30,0.9048864193495668,0.9121304974765682,0.8345008756567426,0.9062697910069664,0.9117209679599838,0.8532953798992774,1373.0,327.0,5610.0,1105.0,True,0.0,0.0,3.0,mg
11,inputs,amount heparine,i124,0.989377349240072,0.9894556596971882,0.98861646234676,0.987456332100758,0.9878554368888288,0.9835778410335012,168.0,23.0,727.0,101.0,True,0.0,0.0,2.0,IE
12,inputs,rate norepinephrin,i5,0.9647001143977774,0.9675558759913484,0.936952714535902,0.967435494085681,0.9696047947366048,0.9463542807094372,2519.0,498.0,9944.0,2102.0,True,0.0,0.0,1.0,mg/kg/h
13,inputs,rate norepinephrin,i5,0.6746200359535872,0.6888968997837058,0.5359019264448337,0.6671229238595273,0.6801631291965211,0.5403985110575871,14614.0,2386.0,57695.0,9294.0,True,0.0,0.0,2.0,mg/kg/h
14,inputs,amount oxytocin,i106,0.9396960287628696,0.9343006488824802,0.9921190893169878,0.9375063841957956,0.9323824974088596,0.9873001970659075,1355.0,16.0,5714.0,76.0,True,0.0,0.0,2.0,IE
15,inputs,amount fentanyl,i8,0.8925478019284196,0.8930245133381398,0.8879159369527145,0.8926025046476945,0.8944391870578162,0.8747536676155026,2206.0,254.0,8553.0,1159.0,True,0.0,0.0,1.0,mg
16,inputs,amount fentanyl,i8,0.4441902271613008,0.4540374909877434,0.3485113835376532,0.4499785491021267,0.4607723852012076,0.345084300416028,21295.0,2496.0,82233.0,10082.0,True,0.0,0.0,2.0,mg
17,inputs,amount kcl,i26,0.9858637032194804,0.9878334534967556,0.9667250437828372,0.9855563954319804,0.9868640439817944,0.9728486971753888,166.0,48.0,719.0,161.0,True,0.0,0.0,2.0,mmol
18,inputs,rate propofol,i3,0.965435528681157,0.966744772891132,0.9527145359019265,0.9683752477067968,0.9689288450272632,0.9629954017954894,883.0,128.0,3261.0,585.0,True,0.0,0.0,1.0,mg/kg/h
19,inputs,rate propofol,i3,0.6209347932668736,0.6296863734679163,0.5359019264448337,0.6221986148848802,0.6302780406471091,0.5436829428508868,10765.0,1492.0,42481.0,5475.0,True,0.0,0.0,2.0,mg/kg/h
20,inputs,amount tranexamic acid,i96,0.9608596175845726,0.962238644556597,0.9474605954465848,0.9566487568693948,0.9579333964219728,0.944164659513904,576.0,80.0,2656.0,396.0,True,0.0,0.0,2.0,mg
21,inputs,amount parecoxib,i67,0.8292204608596176,0.8342645998558039,0.7802101576182137,0.8297411591656623,0.8335135865891578,0.7930807970221152,2205.0,283.0,9016.0,1090.0,True,0.0,0.0,2.0,mg
22,inputs,amount parecoxib,i67,0.9721359699297272,0.9704397981254508,0.98861646234676,0.9725837095752722,0.97093416249831,0.9886139697832276,350.0,14.0,1412.0,57.0,True,0.0,0.0,3.0,mg
23,inputs,amount dexamethason,i36,0.9863539794084,0.9863013698630136,0.9868651488616462,0.9858219779770782,0.985850119417782,0.985548500109481,188.0,15.0,796.0,85.0,True,0.0,0.0,1.0,mg
24,inputs,amount dexamethason,i36,0.5573623141036117,0.5516402307137707,0.6129597197898424,0.5623403951051094,0.5566671172998062,0.6174731771403548,6052.0,511.0,23780.0,1983.0,True,0.0,0.0,2.0,mg
25,inputs,rate remifentanil,i15,0.9459879065206732,0.9467375630857968,0.9387040280210156,0.946883490980408,0.9465999729620116,0.949638712502737,1007.0,115.0,3754.0,438.0,True,0.0,0.0,1.0,mg/kg/h
26,inputs,rate remifentanil,i15,0.6945579343029906,0.6982696467195386,0.658493870402802,0.6864491613720403,0.689694020098238,0.654915699583972,8358.0,1004.0,34440.0,3760.0,True,0.0,0.0,2.0,mg/kg/h
27,inputs,amount norepinephrin,i4,0.9633927112273248,0.9662040374909876,0.936077057793345,0.9662710167725592,0.9684782118877022,0.944821545872564,2717.0,596.0,10598.0,2208.0,True,0.0,0.0,1.0,mg
28,inputs,amount norepinephrin,i4,0.6585226344173885,0.672043979812545,0.5271453590192645,0.6509632474616438,0.6630165382362219,0.5338296474709876,17118.0,2509.0,67942.0,10008.0,True,0.0,0.0,2.0,mg
29,inputs,amount norepinephrin,i4,0.9892139238437652,0.9899963950973324,0.9816112084063048,0.9888455331058856,0.9896805011040511,0.980731333479308,238.0,53.0,977.0,216.0,True,0.0,0.0,3.0,mg
30,inputs,amount sufentanil,i20,0.9781827095930709,0.977829848594088,0.9816112084063048,0.9765878771782877,0.976274165202109,0.9796365228815416,734.0,133.0,3037.0,374.0,True,0.0,0.0,1.0,mg
31,inputs,amount sufentanil,i20,0.9128125510704364,0.9093366979091564,0.946584938704028,0.9123373306911275,0.9095579288900906,0.9393474928837312,3672.0,260.0,15151.0,1259.0,True,0.0,0.0,2.0,mg
32,inputs,amount metamizol,i10,0.9799803889524432,0.981434751261716,0.9658493870402802,0.980939345032585,0.982109864359425,0.969564265382089,1360.0,237.0,4140.0,1111.0,True,0.0,0.0,1.0,mg
33,inputs,amount metamizol,i10,0.3154927275698643,0.313536409516943,0.3345008756567426,0.3229279454125723,0.3229462394664504,0.3227501642215896,9635.0,910.0,37872.0,3627.0,True,0.0,0.0,2.0,mg
34,inputs,amount metamizol,i10,0.9651903905866972,0.9645818312905552,0.9711033274956216,0.9660462930805532,0.96503086837006,0.9759141668491352,426.0,36.0,1725.0,138.0,True,0.0,0.0,3.0,mg
35,inputs,amount ampicillin sulbactam,i34,0.9839025984638012,0.984408795962509,0.978984238178634,0.9829618582606386,0.9827407507548104,0.9851105758703744,474.0,122.0,2162.0,218.0,True,0.0,0.0,1.0,mg
36,inputs,amount ampicillin sulbactam,i34,0.8369831671841804,0.8368781542898341,0.8380035026269702,0.8398128664528387,0.8411743499616962,0.8265820013137727,4674.0,470.0,17928.0,2018.0,True,0.0,0.0,2.0,mg
37,inputs,amount ropivacain sufentanil,i48,0.9805523778395162,0.9805335255948088,0.9807355516637478,0.9808371978998548,0.9801496102023344,0.987519159185461,1024.0,92.0,4177.0,284.0,True,0.0,0.0,2.0,mg
38,inputs,amount ondansetron,i22,0.9730348096094134,0.9723323720259552,0.9798598949211909,0.9718278207930704,0.970460997701771,0.9851105758703744,446.0,40.0,2115.0,124.0,True,0.0,0.0,1.0,mg
39,inputs,amount ondansetron,i22,0.5268017649942801,0.5223503965392935,0.5700525394045535,0.5291221475413186,0.5231400117164616,0.5872564046419969,6562.0,562.0,25955.0,2174.0,True,0.0,0.0,2.0,mg
40,inputs,amount ondansetron,i22,0.9491747017486516,0.9476387887527036,0.9640980735551664,0.9512758176877976,0.949686809968005,0.9667177578278958,683.0,53.0,2611.0,171.0,True,0.0,0.0,3.0,mg
41,inputs,amount urapidil,i65,0.9674783461349894,0.9677361211247296,0.9649737302977232,0.9690698482093608,0.9701906178180344,0.9581782351653164,854.0,120.0,3204.0,483.0,True,0.0,0.0,2.0,mg
42,inputs,amount urapidil,i65,0.9851282889361008,0.9861211247296324,0.9754816112084064,0.987517620380396,0.9880356901446532,0.9824830304357346,373.0,139.0,1343.0,200.0,True,0.0,0.0,3.0,mg
43,inputs,amount piritramid,i12,0.9860271286157868,0.9869322278298486,0.9772329246935202,0.9878036323520398,0.988396196656302,0.982045106196628,386.0,106.0,1621.0,314.0,True,0.0,0.0,1.0,mg
44,inputs,amount piritramid,i12,0.7005229612681811,0.7040374909877434,0.6663747810858144,0.7032217205663037,0.7059618764363931,0.6765929494197505,4673.0,557.0,18242.0,1951.0,True,0.0,0.0,2.0,mg
45,inputs,amount piritramid,i12,0.717519202484066,0.7080028839221342,0.8099824868651488,0.7191158144190892,0.708417827047001,0.8230786074009196,7186.0,456.0,28707.0,1572.0,True,0.0,0.0,3.0,mg
46,inputs,amount ropivacain,i74,0.9535054747507764,0.9526856524873828,0.9614711033274956,0.9530531777972991,0.9516695957820738,0.9664987957083424,981.0,74.0,3973.0,242.0,True,0.0,0.0,2.0,mg
47,inputs,amount cefuroxim,i28,0.9544043144304624,0.954397981254506,0.9544658493870404,0.9538907842856852,0.9537199765670769,0.9555506897306766,656.0,86.0,2665.0,296.0,True,0.0,0.0,1.0,mg
48,inputs,amount cefuroxim,i28,0.6743748978591273,0.6686193222782986,0.7302977232924693,0.681607387280639,0.6765805957370106,0.7304576308298665,4698.0,378.0,18364.0,1538.0,True,0.0,0.0,2.0,mg
49,inputs,volume water-full electrolyte solution,i1,0.2363948357574766,0.2363013698630136,0.2373029772329247,0.2356534352080737,0.2346897390834121,0.245018611780162,12824.0,1380.0,50161.0,5152.0,True,0.0,0.0,1.0,ml
50,inputs,volume water-full electrolyte solution,i1,0.2506128452361497,0.255677721701514,0.2014010507880911,0.2447241005944963,0.2506196205668964,0.1874315743376395,19201.0,2378.0,77452.0,9462.0,True,0.0,0.0,2.0,ml
51,inputs,volume water-full electrolyte solution,i1,0.8283216211799314,0.8250720980533526,0.8598949211908932,0.8350528100676214,0.8317335856878915,0.8673089555506898,2881.0,269.0,10875.0,956.0,True,0.0,0.0,3.0,ml
52,inputs,amount cefazolin,i64,0.9499918287301848,0.9517844268204758,0.9325744308231172,0.9488855747819158,0.9505655445901492,0.9325596671775784,632.0,92.0,2662.0,382.0,True,0.0,0.0,1.0,mg
53,inputs,amount cefazolin,i64,0.8776760908645204,0.885183850036049,0.8047285464098073,0.8758299454534311,0.882272092289667,0.8132253120210203,1652.0,300.0,6648.0,1135.0,True,0.0,0.0,2.0,mg
54,inputs,amount gelatine,i143,0.9848014381434876,0.9848594087959626,0.9842381786339754,0.9847187889435944,0.9849488531386598,0.9824830304357346,244.0,29.0,992.0,131.0,True,0.0,0.0,2.0,ml
55,inputs,amount rocuronium,i39,0.9888870730511522,0.9887346791636624,0.990367775831874,0.9891519745040755,0.9897706277319634,0.9831399167943946,377.0,49.0,1553.0,196.0,True,0.0,0.0,1.0,mg
56,inputs,amount rocuronium,i39,0.8616604020264749,0.8645457822638789,0.8336252189141856,0.8604261578377495,0.8608444865035375,0.8563608495730238,3431.0,492.0,13703.0,1501.0,True,0.0,0.0,2.0,mg
57,inputs,amount bupivacaine,i108,0.9705834286648144,0.9692682047584716,0.9833625218914186,0.9697440192853788,0.9679149204632508,0.987519159185461,447.0,21.0,1840.0,61.0,True,0.0,0.0,2.0,mg
58,inputs,amount paracetamol,i54,0.9385520509887236,0.9397981254506128,0.9264448336252188,0.9336452225786024,0.9348384480194674,0.9220494854390192,801.0,95.0,3341.0,391.0,True,0.0,0.0,2.0,mg
59,inputs,amount paracetamol,i54,0.9190227161300866,0.9151045421773611,0.957092819614711,0.9252282988416516,0.92183768194313,0.9581782351653164,1035.0,55.0,3777.0,225.0,True,0.0,0.0,3.0,mg
60,inputs,amount atropine,i81,0.901536198725282,0.9002343186733959,0.914185639229422,0.902674211934871,0.9021675454012889,0.9075979855485,1629.0,142.0,6319.0,597.0,True,0.0,0.0,2.0,mg
61,inputs,amount cisatracurium,i16,0.979081549272757,0.980803893294881,0.9623467600700526,0.980755480193671,0.9819296111036006,0.9693453032625357,573.0,124.0,1972.0,326.0,True,0.0,0.0,1.0,mg
62,inputs,amount cisatracurium,i16,0.6353162281418532,0.6460886806056236,0.5306479859894921,0.6382152852969417,0.6496327339912578,0.527260783884388,7535.0,1039.0,29612.0,4219.0,True,0.0,0.0,2.0,mg
63,inputs,amount remifentanil ,i14,0.9412485700277824,0.9420511896178804,0.9334500875656744,0.9423072994341049,0.941778198368708,0.947449091307204,1144.0,133.0,4323.0,508.0,True,0.0,0.0,1.0,mg
64,inputs,amount remifentanil ,i14,0.6800947867298579,0.6835796683489546,0.6462346760070052,0.6711475208890887,0.673854265242666,0.6448434420845194,10275.0,1179.0,42997.0,4316.0,True,0.0,0.0,2.0,mg
65,inputs,amount morphine,i82,0.97965353815983,0.979902667627974,0.9772329246935202,0.980632903634395,0.980465053400027,0.9822640683161812,509.0,57.0,2125.0,170.0,True,0.0,0.0,3.0,mg
66,inputs,amount metronidazol,i79,0.9899493381271448,0.9894556596971882,0.9947460595446584,0.9897239984473636,0.9898382227028976,0.9886139697832276,233.0,18.0,848.0,94.0,True,0.0,0.0,1.0,mg
67,inputs,amount metronidazol,i79,0.9182055891485535,0.918168709444845,0.9185639229422068,0.9167500868250628,0.9164751475823532,0.9194219400043792,1180.0,122.0,4779.0,446.0,True,0.0,0.0,2.0,mg
68,operation procedures,ops olfactory organs,op27,0.0,0.0,0.0,0.0,0.0,0.0,21674.0,1908.0,80382.0,7129.0,False,0.7961431701972244,0.5746392997756897,0.0,
69,operation procedures,ops history hormon system,op6,0.0,0.0,0.0,0.0,0.0,0.0,21340.0,1912.0,79470.0,7129.0,False,1.9932709758481084,1.401456530631925,0.0,
70,operation procedures,ops history reproductive organs,op18,0.0,0.0,0.0,0.0,0.0,0.0,21207.0,1885.0,78901.0,7039.0,False,2.0,0.2236779740951959,0.0,
71,operation procedures,ops history skin ,op32,0.0,0.0,0.0,0.0,0.0,0.0,40094.0,2609.0,127055.0,10122.0,False,1.155961158210112,0.5509112594278527,0.0,
72,operation procedures,ops history nervous system,op2,0.0,0.0,0.0,0.0,0.0,0.0,21535.0,2006.0,79964.0,7363.0,False,5.457369814651368,4.806764443521796,0.0,
73,operation procedures,ops history motoric organs,op22,0.0,0.0,0.0,0.0,0.0,0.0,24208.0,2060.0,90925.0,8328.0,False,0.683418254803194,0.4567563607264202,0.0,
74,operation procedures,ops urinary system,op15,0.0,0.0,0.0,0.0,0.0,0.0,21623.0,1895.0,79967.0,7086.0,False,0.5668668721449148,0.2352975390264098,0.0,
75,operation procedures,ops history lymphatic system,op14,0.0,0.0,0.0,0.0,0.0,0.0,21384.0,1911.0,79524.0,7061.0,False,1.4866198742072845,0.7480940919385994,0.0,
76,operation procedures,ops history hearing organs,op26,0.0,0.0,0.0,0.0,0.0,0.0,21217.0,1887.0,78880.0,7032.0,False,0.9035341681941996,1.3341953913701228,0.0,
77,operation procedures,ops history urinary system,op16,0.0,0.0,0.0,0.0,0.0,0.0,21623.0,1895.0,79967.0,7086.0,False,1.292586645256256,0.8692685032263316,0.0,
78,operation procedures,ops history respiratory tract,op12,0.0,0.0,0.0,0.0,0.0,0.0,21200.0,1901.0,79269.0,7051.0,False,16.924808041323466,0.8385694138900841,0.0,
79,operation procedures,ops hormon system,op5,0.0,0.0,0.0,0.0,0.0,0.0,21340.0,1912.0,79470.0,7129.0,False,1.792198617348741,1.5700827998871767,0.0,
80,operation procedures,ops respiratory tract,op11,0.0,0.0,0.0,0.0,0.0,0.0,21200.0,1901.0,79269.0,7051.0,False,4.420402361271489,0.6944715283349463,0.0,
81,operation procedures,ops history blood vessels,op8,0.0,0.0,0.0,0.0,0.0,0.0,22947.0,2052.0,83923.0,7660.0,False,0.2935063724888072,0.7593900457761955,0.0,
82,operation procedures,ops history parturition,op20,0.0,0.0,0.0,0.0,0.0,0.0,21191.0,1885.0,78830.0,7032.0,False,2.0,2.0,0.0,
83,operation procedures,ops lymphatic system,op13,0.0,0.0,0.0,0.0,0.0,0.0,21384.0,1911.0,79524.0,7061.0,False,0.0785172123486088,0.6777953814014781,0.0,
84,operation procedures,ops reproductive organs,op17,0.0,0.0,0.0,0.0,0.0,0.0,21207.0,1885.0,78901.0,7039.0,False,1.0363936228697086,0.235607841858231,0.0,
85,operation procedures,ops nervous system,op1,0.0,0.0,0.0,0.0,0.0,0.0,21535.0,2006.0,79964.0,7363.0,False,6.024245246948906,4.069309054352545,0.0,
86,operation procedures,ops facial organs,op29,0.0,0.0,0.0,0.0,0.0,0.0,21256.0,1898.0,79107.0,7054.0,False,0.546410803127221,0.0351372783919163,0.0,
87,operation procedures,ops history olfactory organs,op28,0.0,0.0,0.0,0.0,0.0,0.0,21674.0,1908.0,80382.0,7129.0,False,0.97566055556901,0.5979063294807796,0.0,
88,operation procedures,ops hearing organs,op25,0.0,0.0,0.0,0.0,0.0,0.0,21217.0,1887.0,78880.0,7032.0,False,0.3266070620190131,0.5371080736717788,0.0,
89,operation procedures,ops skin ,op31,0.0,0.0,0.0,0.0,0.0,0.0,40094.0,2609.0,127055.0,10122.0,False,0.982848643035559,0.4544893814829303,0.0,
90,operation procedures,ops visual organs,op23,0.0,0.0,0.0,0.0,0.0,0.0,21359.0,1887.0,79230.0,7046.0,False,1.597507677122176,0.9721347597839256,0.0,
91,operation procedures,ops blood vessels,op7,0.0,0.0,0.0,0.0,0.0,0.0,22947.0,2052.0,83923.0,7660.0,False,0.3050636225585168,0.7266115237138862,0.0,
92,operation procedures,ops motoric organs,op21,0.0,0.0,0.0,0.0,0.0,0.0,24208.0,2060.0,90925.0,8328.0,False,0.4637524601431964,0.5438863109970629,0.0,
93,operation procedures,ops history visual organs,op24,0.0,0.0,0.0,0.0,0.0,0.0,21359.0,1887.0,79230.0,7046.0,False,1.7557951793334103,0.9603594367570792,0.0,
94,operation procedures,ops history cardio system,op4,0.0,0.0,0.0,0.0,0.0,0.0,21338.0,1885.0,78855.0,7034.0,False,2.0,0.3392744280116293,0.0,
95,operation procedures,ops digestive tract,op9,0.0,0.0,0.0,0.0,0.0,0.0,21202.0,1908.0,79259.0,7087.0,False,14.699385118745418,0.1237530270658737,0.0,
96,operation procedures,ops history digestive tract,op10,0.0,0.0,0.0,0.0,0.0,0.0,21202.0,1908.0,79259.0,7087.0,False,21.46053724729992,0.3616665120200442,0.0,
97,operation procedures,ops history facial organs,op30,0.0,0.0,0.0,0.0,0.0,0.0,21256.0,1898.0,79107.0,7054.0,False,1.9114725315344447,0.2649501159944625,0.0,
98,operation procedures,ops parturition,op19,0.0,0.0,0.0,0.0,0.0,0.0,21191.0,1885.0,78830.0,7032.0,False,2.0,1.6071173666741534,0.0,
99,demographics,currently drinking,d7,0.0,0.0,0.0,0.0,0.0,0.0,21322.0,1886.0,78952.0,7052.0,False,1.714077807030429,1.4407210939300166,0.0,
100,demographics,gender,d2,0.0,0.0,0.0,0.0,0.0,0.0,14763.0,1367.0,58305.0,5356.0,False,0.4456349899525724,0.4761217365429453,0.0,
101,demographics,age,d1,0.0,0.0,0.0,0.0,0.0,0.0,14763.0,1367.0,58308.0,5356.0,True,0.0,0.0,0.0,years
102,demographics,currently smoking,d6,0.0,0.0,0.0,0.0,0.0,0.0,21206.0,1886.0,78883.0,7041.0,False,1.15158417327023,1.9789732191260976,0.0,
103,demographics,smoking history,d8,0.0,0.0,0.0,0.0,0.0,0.0,21924.0,1923.0,79968.0,7228.0,False,0.4249343152129667,1.6394564590649137,0.0,
104,demographics,drinking history,d9,0.0,0.0,0.0,0.0,0.0,0.0,21191.0,1885.0,78830.0,7032.0,False,3.198755475498424,4.937282198206847,0.0,
105,demographics,bmi,d5,0.5112763523451545,0.5084715212689257,0.5385288966725044,0.5079368322131198,0.5034924068315985,0.5511276549156996,6569.0,654.0,26043.0,2441.0,True,0.0,0.0,0.0,
106,demographics,body weight,d4,0.4240889034155908,0.423846431146359,0.4264448336252189,0.4216429344828291,0.4206209724663151,0.4315743376395883,7082.0,681.0,28171.0,2682.0,True,0.0,0.0,0.0,
107,demographics,body length,d3,0.4934629841477366,0.4905371304974766,0.521891418563923,0.4902858076773785,0.485850119417782,0.5333917232318809,6097.0,562.0,24284.0,2185.0,True,0.0,0.0,0.0,
108,hospitalization,number of previous admissions,h2,0.0,0.0,0.0,0.0,0.0,0.0,13561.0,1205.0,53616.0,4799.0,True,0.0,0.0,0.0,
109,hospitalization,hospitalization time,h3,0.0,0.0,0.0,0.0,0.0,0.0,13561.0,1205.0,53616.0,4799.0,True,0.0,0.0,1.0,
110,hospitalization,hospitalization time,h3,0.0,0.0,0.0,0.0,0.0,0.0,13561.0,1205.0,53615.0,4799.0,True,0.0,0.0,2.0,
111,hospitalization,hospitalization time,h3,0.0,0.0,0.0,0.0,0.0,0.0,13561.0,1205.0,53616.0,4799.0,True,0.0,0.0,3.0,
112,hospitalization,recovery room time,h4,0.0,0.0,0.0,4.085885309201842e-05,2.2531656978075357e-05,0.0002189621195533,13550.0,1204.0,53588.0,4797.0,True,0.0,0.0,3.0,
113,hospitalization,number of surgeries,h9,0.0,0.0,0.0,0.0,0.0,0.0,20087.0,1914.0,74243.0,7158.0,True,0.0,0.0,0.0,
114,hospitalization,aneasthesia time,h6,0.0006537015852263,0.0005407354001442,0.0017513134851138,0.0006741710760178,0.0006759497093415,0.0006568863586599,13537.0,1202.0,53537.0,4795.0,True,0.0,0.0,2.0,
115,hospitalization,aneasthesia time,h6,0.0002451380944599,0.000270367700072,0.0,0.0003881591043739,0.0003830381686269,0.0004379242391066,13543.0,1204.0,53565.0,4796.0,True,0.0,0.0,3.0,
116,hospitalization,emergency case,h1,0.0141362967805196,0.0126171593366979,0.0288966725043783,0.01260495617888,0.0105673471227073,0.0324063936938909,13297.0,1161.0,52768.0,4638.0,False,0.498344291184754,0.5322726728654339,1.0,
117,hospitalization,emergency case,h1,0.9914201666939042,0.9913482335976928,0.9921190893169878,0.9930744244009072,0.9930151863368032,0.9936500985329538,96.0,9.0,311.0,29.0,False,2.0,2.0,2.0,
118,hospitalization,emergency case,h1,0.998610884131394,0.9987382840663304,0.9973730297723292,0.999101105231976,0.9990536704069216,0.9995620757608934,14.0,3.0,42.0,2.0,False,2.0,2.0,3.0,
119,hospitalization,number of previous surgeries,h10,0.0,0.0,0.0,0.0,0.0,0.0,20087.0,1914.0,74243.0,7158.0,True,0.0,0.0,0.0,
120,hospitalization,surgery time,h5,0.0006537015852263,0.0005407354001442,0.0017513134851138,0.0005720239432879,0.0005407597674732,0.0008758484782133,13539.0,1202.0,53549.0,4793.0,True,0.0,0.0,2.0,
121,hospitalization,surgery time,h5,0.0,0.0,0.0,0.0001634354123679,0.0001126582848902,0.0006568863586599,13548.0,1204.0,53583.0,4795.0,True,0.0,0.0,3.0,
122,scores and scales,aldrete score,s14,0.9553031541101488,0.954127613554434,0.9667250437828372,0.9550552615988068,0.9533369383984498,0.971753886577622,563.0,38.0,2243.0,134.0,True,0.0,0.0,2.0,
123,scores and scales,aldrete score,s14,0.0716620362804379,0.0632660418168709,0.1532399299474606,0.0713395574986209,0.0639223108467397,0.1434201883074228,13544.0,1159.0,53630.0,4536.0,True,0.0,0.0,3.0,
124,scores and scales,op n class,s13,0.7375388135316228,0.7359408795962509,0.7530647985989491,0.7371345686326585,0.7347573340543463,0.7602364790891176,3955.0,348.0,15384.0,1419.0,True,0.0,0.0,1.0,
125,scores and scales,op n class,s13,0.8411505147899984,0.8339942321557318,0.9106830122591943,0.8408547672066845,0.8349781442927313,0.8979636522881541,2124.0,121.0,8333.0,513.0,True,0.0,0.0,2.0,
126,scores and scales,frailty index ,s11,0.9766301683281582,0.9772891131939436,0.9702276707530648,0.9765674477517416,0.977513406335902,0.9673746441865556,329.0,43.0,1244.0,189.0,True,0.0,0.0,1.0,
127,scores and scales,pain nrs ,s1,0.9753227651577056,0.9764780100937276,0.9640980735551664,0.9774459130932196,0.9786850524987608,0.965403985110576,3152.0,570.0,9159.0,2374.0,True,0.0,0.0,1.0,
128,scores and scales,pain nrs ,s1,0.9615950318679524,0.9602559480894016,0.9746059544658494,0.960489489060042,0.9590825109278536,0.9741624698927086,574.0,38.0,2360.0,137.0,True,0.0,0.0,2.0,
129,scores and scales,pain nrs ,s1,0.0701094950155254,0.063536409516943,0.1339754816112084,0.0740771006557845,0.0667612996259745,0.1451718852638494,19963.0,1451.0,78652.0,5602.0,True,0.0,0.0,3.0,
130,scores and scales,mini-cog,s9,0.9788364111782972,0.9792718096611392,0.9746059544658494,0.9789168318045312,0.9796313820918392,0.9719728486971754,306.0,36.0,1126.0,163.0,True,0.0,0.0,1.0,
131,scores and scales,gcs,s2,0.9869259682954732,0.98711247296323,0.9851138353765324,0.986618725612372,0.986751385696904,0.9853295379899276,200.0,33.0,837.0,169.0,True,0.0,0.0,3.0,
132,scores and scales,barthel index,s10,0.9854551397287138,0.9861211247296324,0.978984238178634,0.986516578479642,0.9868415123248164,0.983358878913948,169.0,30.0,645.0,84.0,True,0.0,0.0,1.0,
133,scores and scales,asa status,s7,0.4548128779212289,0.4637707281903388,0.3677758318739054,0.4521236388894564,0.4580685863638412,0.3943507773155243,7897.0,949.0,31452.0,3473.0,True,0.0,0.0,1.0,
134,scores and scales,asa status,s7,0.9858637032194804,0.9857606344628695,0.9868651488616462,0.9843510592657664,0.984227840115362,0.985548500109481,186.0,17.0,795.0,72.0,True,0.0,0.0,2.0,
135,scores and scales,phq-9,s5,0.9772838699133846,0.9777397260273972,0.9728546409807356,0.9779157899037774,0.9785498625568924,0.971753886577622,326.0,38.0,1181.0,159.0,True,0.0,0.0,1.0,
