,feature,tl,i,U1,p,AUC,2|AUC-0.5|,avai,miss,n_pos,n_neg,MI,10MI,p_corr,reject
30,history_of_peripheral_arterial_disease,1,3,130381864.5,2.0234962673018435e-17,0.5095346947873376,0.01906938957467519,0.9737653803600764,0.026234619639923573,4802,53287,0.0011363297556734597,0.011363297556734597,1.2140977603811063e-16,True
31,history_of_drug_related_disorder,1,3,128113311.5,0.030439333277629304,0.5006691484562074,0.001338296912414716,0.9737653803600764,0.026234619639923573,4802,53287,0.0,0.0,0.04520693061034055,True
32,history_of_copd,1,3,129068039.5,0.00022672386949560937,0.5044002428223638,0.008800485644727685,0.9737653803600764,0.026234619639923573,4802,53287,0.0,0.0,0.00045344773899121875,True
33,history_of_alcohol_related_disorders,1,3,128740160.5,1.2166914116436138e-05,0.5031188857346058,0.006237771469211673,0.9737653803600764,0.026234619639923573,4802,53287,0.0,0.0,2.8516204960397195e-05,True
34,history_of_obesity,1,3,129712528.0,0.001218517059228257,0.506918915587175,0.01383783117434989,0.9737653803600764,0.026234619639923573,4802,53287,0.0007026130710321432,0.007026130710321432,0.0021759233200504585,True
35,history_of_liver_cirrhosis,1,3,128295094.0,0.006478300490488655,0.5013795577681955,0.002759115536391077,0.9737653803600764,0.026234619639923573,4802,53287,0.0,0.0,0.010228895511297877,True
36,number_of_previous_diagnosis,1,3,145248591.5,9.907370067247109e-86,0.5676341339499956,0.13526826789999125,0.9737653803600764,0.026234619639923573,4802,53287,0.0028913985901666273,0.028913985901666273,2.9722110201741327e-84,True
37,history_of_psychiatric_disorder,1,3,143613021.0,5.929450946836418e-155,0.5612422947266759,0.12248458945335172,0.9737653803600764,0.026234619639923573,4802,53287,0.005286460321863196,0.052864603218631956,2.2235441050636567e-153,True
38,history_of_chronical_pain,1,3,127992830.5,0.8483300397003581,0.5001983065197303,0.00039661303946059157,0.9737653803600764,0.026234619639923573,4802,53287,0.0023078415503015037,0.023078415503015037,0.8656428976534267,False
39,history_of_dissociative__disorder,1,3,128003034.0,0.11201786420054209,0.5002381819830718,0.0004763639661435892,0.9737653803600764,0.026234619639923573,4802,53287,0.0,0.0,0.14739192657966063,False
40,history_of_nutritional_deficiency,1,3,127956725.0,0.4549621642012157,0.500057205569892,0.00011441113978394313,0.9737653803600764,0.026234619639923573,4802,53287,0.0007294420753416464,0.007294420753416464,0.5170024593195633,False
41,history_of_respiratory_failure,1,3,133572057.0,2.782617005722371e-55,0.5220020250255883,0.04400405005117669,0.9737653803600764,0.026234619639923573,4802,53287,0.003048984237084218,0.03048984237084218,4.1739255085835566e-54,True
42,history_of_cognitive_impairment,1,3,128928064.0,3.229946301991521e-10,0.5038532160257789,0.007706432051557854,0.9737653803600764,0.026234619639923573,4802,53287,0.0,0.0,1.1267254541830886e-09,True
43,history_of_metabolic_acidosis,1,3,129359022.5,1.2286729036383284e-12,0.5055374096719245,0.011074819343849018,0.9737653803600764,0.026234619639923573,4802,53287,0.0012739977272266945,0.012739977272266945,5.119470431826368e-12,True
44,history_of_nicotine_related_disorders,1,3,127993104.0,0.7904497115048634,0.5001993753626983,0.0003987507253966349,0.9737653803600764,0.026234619639923573,4802,53287,0.0012108641388075547,0.012108641388075547,0.8128644357674343,False
45,history_of_carcinoma,1,3,127071716.5,0.13183078669131024,0.49659857627615533,0.006802847447689331,0.9737653803600764,0.026234619639923573,4802,53287,0.0018941207509084457,0.018941207509084457,0.1704708448594529,False
46,history_of_hiv,1,3,127926812.5,0.8982744172934123,0.49994030697654634,0.00011938604690731047,0.9737653803600764,0.026234619639923573,4802,53287,0.0,0.0,0.9104132607703502,False
47,history_of_peripheral_vascular_disease,1,3,128219429.5,0.0002542596812566925,0.5010838595277878,0.0021677190555755566,0.9737653803600764,0.026234619639923573,4802,53287,0.0,0.0,0.0005018283182697878,True
48,history_of_ards,1,3,128062183.5,0.09908246436908925,0.5004693393034928,0.000938678606985599,0.9737653803600764,0.026234619639923573,4802,53287,0.000327534028351506,0.0032753402835150602,0.13152539518020698,False
49,history_of_diabetes_mellitus,1,3,133193570.5,1.39616218366879e-16,0.5205228929085705,0.04104578581714091,0.9737653803600764,0.026234619639923573,4802,53287,0.0015095331028958103,0.015095331028958103,7.756456575937723e-16,True
50,history_of_sleep_apnea,1,3,128679916.0,0.004189871702726255,0.5028834491342946,0.005766898268589227,0.9737653803600764,0.026234619639923573,4802,53287,0.00011518388880960018,0.0011518388880960018,0.006983119504543759,True
51,history_of_unspecific_delir,1,3,137403073.5,1.1216808698642185e-280,0.5369737070960864,0.07394741419217277,0.9737653803600764,0.026234619639923573,4802,53287,0.007731711929436669,0.07731711929436669,1.6825213047963276e-278,True
52,history_of_hypertension,1,3,136823167.0,6.113633379544384e-23,0.5347074219603749,0.06941484392074981,0.9737653803600764,0.026234619639923573,4802,53287,0.004565686109358591,0.04565686109358591,4.826552668061355e-22,True
53,history_of_cerebral_infarction,1,3,128446735.5,1.4835023135833623e-05,0.5019721755046875,0.003944351009375069,0.9737653803600764,0.026234619639923573,4802,53287,0.0007301225655180765,0.007301225655180765,3.371596167234914e-05,True
54,history_of_parkinson_disease,1,3,130571451.0,6.93282129862334e-53,0.5102756022730816,0.020551204546163104,0.9737653803600764,0.026234619639923573,4802,53287,0.0027704657691440815,0.027704657691440815,9.453847225395462e-52,True
55,history_of_amputation,1,3,128543977.0,6.792949552523135e-06,0.5023521970530307,0.0047043941060613825,0.9737653803600764,0.026234619639923573,4802,53287,0.0016823846296885048,0.016823846296885048,1.670397430948312e-05,True
56,history_of_depression,1,3,129071054.5,0.0018265621041699913,0.5044120254971298,0.008824050994259647,0.9737653803600764,0.026234619639923573,4802,53287,0.0,0.0,0.0031858641351802173,True
57,history_of_chronical_kidney_disease,1,3,132254194.0,2.8049039752153923e-16,0.5168517924832663,0.033703584966532585,0.9737653803600764,0.026234619639923573,4802,53287,0.0011889212775069158,0.011889212775069158,1.3572116009106738e-15,True
58,history_of_hypercholesterolemia,1,3,128112985.0,0.538047014356241,0.5006678724882767,0.0013357449765534213,0.9737653803600764,0.026234619639923573,4802,53287,0.001077202174426528,0.010772021744265281,0.5891025704630376,False
59,history_of_anxiety_disorder,1,3,128019107.0,0.6399804346007568,0.5003009955590297,0.000601991118059475,0.9737653803600764,0.026234619639923573,4802,53287,9.880519676808142e-05,0.0009880519676808142,0.6760356703529121,False
60,history_of_tia,1,3,128197483.0,5.693663421569246e-05,0.5009980922071405,0.001996184414281066,0.9737653803600764,0.026234619639923573,4802,53287,0.00010780999528980928,0.0010780999528980928,0.00012377529177324447,True
61,history_of_coronary_heart_disease,1,3,132573829.0,5.2794057125789064e-23,0.5181009318692761,0.036201863738552165,0.9737653803600764,0.026234619639923573,4802,53287,0.0010547327415351138,0.010547327415351138,4.399504760482422e-22,True
62,history_of_dementia,1,3,133486559.5,1.7384659149493848e-243,0.5216678992425691,0.04333579848513813,0.9737653803600764,0.026234619639923573,4802,53287,0.0048487338231395505,0.048487338231395505,1.3038494362120386e-241,True
63,history_of_heart_failure,1,3,130998872.5,2.9613111452979678e-21,0.5119459732589793,0.023891946517958562,0.9737653803600764,0.026234619639923573,4802,53287,0.0029990406406208425,0.029990406406208425,2.1152222466414055e-20,True
64,history_of_hyperlipidemia,1,3,128087469.0,0.6002501747104653,0.5005681554967913,0.0011363109935826898,0.9737653803600764,0.026234619639923573,4802,53287,0.0,0.0,0.6477519870976244,False
65,ppeak_p0.1,1,3,3527039.5,0.0009205101882485119,0.5353550463136885,0.07071009262737693,0.15130586381466457,0.8486941361853354,801,8225,0.0,0.0,0.0017046484967565034,True
66,ppeak_p0.5,1,3,3600342.0,1.320677082702888e-05,0.5464813360199446,0.09296267203988928,0.15130586381466457,0.8486941361853354,801,8225,0.004686330814393402,0.046863308143934024,3.047716344698972e-05,True
67,ppeak_p0.9,1,3,3634988.5,1.2428223651643395e-06,0.5517401879869008,0.10348037597380166,0.15130586381466457,0.8486941361853354,801,8225,0.005174097464366811,0.051740974643668114,3.159717877536457e-06,True
68,fio2_set_p0.1,1,3,13862135.0,1.3063370526722407e-06,0.47992784187947635,0.040144316241047306,0.3053106246018708,0.6946893753981291,1755,16458,0.00023954659790970112,0.002395465979097011,3.265842631680602e-06,True
69,fio2_set_p0.5,1,3,13818289.5,4.546146762785588e-08,0.47840984510689216,0.043180309786215676,0.3053106246018708,0.6946893753981291,1755,16458,0.002087943555376226,0.02087943555376226,1.3113884892650735e-07,True
70,fio2_set_p0.9,1,3,14261949.5,0.042815931471979714,0.49377001771581913,0.012459964568361737,0.3053106246018708,0.6946893753981291,1755,16458,0.0037299584125387586,0.037299584125387586,0.060588582271669404,False
71,fio2_meas_p0.1,1,3,11596438.5,7.722547569577977e-05,0.469734577189043,0.06053084562191402,0.2912797130117008,0.7087202869882991,1561,15815,0.0011559878345701602,0.011559878345701602,0.00016315241344178825,True
72,fio2_meas_p0.5,1,3,11633997.0,0.0001734024014888308,0.47125595171427803,0.057488096571443936,0.2912797130117008,0.7087202869882991,1561,15815,0.0,0.0,0.0003563063044291044,True
73,fio2_meas_p0.9,1,3,11975072.0,0.05118349434635607,0.48507180741124506,0.02985638517750988,0.2912797130117008,0.7087202869882991,1561,15815,0.0,0.0,0.07175256216778889,False
74,endotracheal_tube_access_time,1,3,1237036.0,0.004081584613030577,0.5359212768851793,0.07184255377035864,0.07263553156536025,0.9273644684346397,622,3711,0.011668210466739826,0.11668210466739826,0.006879075190500972,True
75,preoxygination_ventilation_therapy_time,1,3,4954798.5,0.00022200538684100587,0.535790938525465,0.07158187705093,0.1747577698058806,0.8252422301941194,979,9446,0.0,0.0,0.0004500109192723092,True
76,heart_rate_p0.1,1,3,56854718.0,0.03138001722834302,0.4886252622705129,0.02274947545897421,0.6538036007644081,0.34619639923559187,3255,35747,0.002844954044790793,0.02844954044790793,0.04569905421603353,True
77,heart_rate_p0.5,1,3,57299076.0,0.15278113675726174,0.49244419853349813,0.015111602933003732,0.6538036007644081,0.34619639923559187,3255,35747,0.0010949180986223883,0.010949180986223883,0.1925812648200778,False
78,heart_rate_p0.9,1,3,57738310.0,0.47437177800694763,0.49621909771509515,0.007561804569809705,0.6538036007644081,0.34619639923559187,3255,35747,1.3401718953476305e-05,0.00013401718953476305,0.5310131843361354,False
79,heart_rate_std,1,3,58176159.5,0.997258117415674,0.4999820981185535,3.5803762893027447e-05,0.6538036007644081,0.34619639923559187,3255,35747,0.0,0.0,0.997258117415674,False
80,spo2_p0.1,1,3,69674367.0,5.609804815275738e-63,0.41964379010536906,0.16071241978926187,0.7798638817179065,0.22013611828209345,3895,42627,0.005357253482114466,0.05357253482114466,9.349674692126231e-62,True
81,spo2_p0.5,1,3,71476893.5,1.6909629358676708e-48,0.4305002798704697,0.13899944025906064,0.7798638817179065,0.22013611828209345,3895,42627,0.0031693853917584836,0.031693853917584836,1.9511110798473123e-47,True
82,spo2_p0.9,1,3,73797481.5,3.528659859495834e-32,0.44447701745020307,0.11104596509959386,0.7798638817179065,0.22013611828209345,3895,42627,0.0020276963651022495,0.020276963651022495,3.780706992316965e-31,True
83,puls_p0.1,1,3,25641229.5,0.0005098974177266243,0.4786493070903473,0.04270138581930538,0.4066785127568981,0.5933214872431019,2457,21803,0.00039064570533020593,0.003906457053302059,0.0009656091479074532,True
84,puls_p0.5,1,3,25872228.5,0.005539964842279552,0.48296140574726093,0.03407718850547814,0.4066785127568981,0.5933214872431019,2457,21803,0.0,0.0,0.009131810179581678,True
85,puls_p0.9,1,3,26152203.5,0.054503597059156215,0.48818774794557945,0.023624504108841093,0.4066785127568981,0.5933214872431019,2457,21803,0.0,0.0,0.07500495008140763,False
86,puls_std,1,3,26188654.0,0.06594361682353314,0.4888681757919936,0.022263648416012805,0.4066785127568981,0.5933214872431019,2457,21803,0.0015791565936025265,0.015791565936025265,0.08992311385027248,False
87,bp_diastolic_p0.1,1,3,34102179.5,0.00029582540714204517,0.47837198254769264,0.043256034904614715,0.5122204713849867,0.4877795286150133,2545,28011,0.0,0.0,0.0005762832606663218,True
88,bp_diastolic_p0.5,1,3,34377554.0,0.002949343453889933,0.4822348278977407,0.035530344204518616,0.5122204713849867,0.4877795286150133,2545,28011,0.0006403982510234663,0.006403982510234663,0.005085074920499885,True
89,bp_diastolic_p0.9,1,3,35159393.5,0.2553466140472912,0.4932021653856305,0.013595669228739005,0.5122204713849867,0.4877795286150133,2545,28011,5.375672612828453e-06,5.3756726128284527e-05,0.31139830981376976,False
90,nibp_mean_p0.1,1,3,34898666.0,0.016697061536750695,0.514478630718656,0.02895726143731192,0.49941328326683876,0.5005867167331612,2484,27308,0.0,0.0,0.02555672684196535,True
91,nibp_mean_p0.5,1,3,35252007.0,0.0011350389579151089,0.519687609017619,0.039375218035238024,0.49941328326683876,0.5005867167331612,2484,27308,0.0,0.0,0.002051275225147787,True
92,nibp_mean_p0.9,1,3,35745808.5,8.284868517198826e-06,0.5269672660557081,0.05393453211141619,0.49941328326683876,0.5005867167331612,2484,27308,0.0010628755787753796,0.010628755787753796,2.004403673515845e-05,True
93,nibp_mean_std,1,3,34436927.0,0.18374383098275582,0.5076716413492227,0.015343282698445426,0.49941328326683876,0.5005867167331612,2484,27308,0.0008261808646043978,0.008261808646043978,0.22967978872844477,False
94,nibp_systolic_p0.1,1,3,35939588.0,4.8636003536014885e-05,0.5245110210383724,0.049022042076744876,0.5018607302108827,0.49813926978911727,2497,27441,0.0008380426940086672,0.008380426940086672,0.00010888657508063035,True
95,nibp_systolic_p0.5,1,3,36562029.5,2.5799315026346013e-08,0.5335950825112433,0.06719016502248665,0.5018607302108827,0.49813926978911727,2497,27441,0.0,0.0,7.739794507903805e-08,True
96,nibp_systolic_p0.9,1,3,36945810.5,8.260954265697972e-11,0.539196075048084,0.07839215009616796,0.5018607302108827,0.49813926978911727,2497,27441,0.0024103023129127266,0.024103023129127266,3.0978578496367396e-10,True
97,nibp_systolic_std,1,3,35144454.0,0.02595432611060307,0.5129066435423831,0.025813287084766268,0.5018607302108827,0.49813926978911727,2497,27441,0.0011331916890466864,0.011331916890466864,0.03893148916590461,True
98,nibp_diastolic_p0.1,1,3,34383367.0,0.01068320379581141,0.4847198091986807,0.03056038160263863,0.5112314346062292,0.4887685653937708,2537,27960,0.0,0.0,0.016692505930955327,True
99,nibp_diastolic_p0.5,1,3,34643398.5,0.05229369236895883,0.4883856054851714,0.023228789029657193,0.5112314346062292,0.4887685653937708,2537,27960,0.0011060129140361141,0.011060129140361141,0.0726301282902206,False
100,nibp_diastolic_p0.9,1,3,35256151.0,0.619029829676911,0.49702388907403616,0.005952221851927675,0.5112314346062292,0.4887685653937708,2537,27960,0.0,0.0,0.6632462460824047,False
101,nibp_diastolic_std,1,3,36197543.5,0.07219073373824539,0.510295177862626,0.02059035572525203,0.5112314346062292,0.4887685653937708,2537,27960,0.0,0.0,0.0975550455922235,False
102,bp_systolic_p0.1,1,3,35878969.5,0.0010631893269986803,0.5197022417510471,0.039404483502094134,0.5031515070238375,0.4968484929761625,2510,27505,2.0531706584225873e-05,0.00020531706584225873,0.001944858524997586,True
103,bp_systolic_p0.5,1,3,36605145.5,5.140753741112461e-07,0.5302208073722199,0.060441614744439764,0.5031515070238375,0.4968484929761625,2510,27505,0.0,0.0,1.376987609226552e-06,True
104,bp_systolic_p0.9,1,3,37363160.5,7.653094523815543e-12,0.5412005567984379,0.08240111359687585,0.5031515070238375,0.4968484929761625,2510,27505,0.001120009668602151,0.01120009668602151,3.102605888033328e-11,True
105,lab_leucocytes_p0.1,1,3,48392158.0,0.7163982285719541,0.49805014703917194,0.003899705921656116,0.5630636671472156,0.43693633285278444,3197,30392,0.002724932668190627,0.027249326681906272,0.7462481547624522,False
106,lab_leucocytes_p0.5,1,3,49331463.0,0.15048036807802187,0.5077174363831319,0.015434872766263874,0.5630636671472156,0.43693633285278444,3197,30392,0.0010507354657018908,0.010507354657018908,0.19128860348901086,False
107,lab_leucocytes_p0.9,1,3,50112833.5,0.003323535191527918,0.5157592701946572,0.03151854038931434,0.5630636671472156,0.43693633285278444,3197,30392,0.0024828078755310123,0.024828078755310123,0.005665116803740769,True
108,lab_aPTT_p0.1,1,3,43005097.0,5.8033184317169706e-05,0.5223157742190131,0.04463154843802619,0.5102256344922386,0.48977436550776143,3001,27436,0.0,0.0,0.00012435682353679223,True
109,lab_aPTT_p0.5,1,3,43869726.0,3.3649628698922573e-09,0.5328170728336217,0.06563414566724335,0.5102256344922386,0.48977436550776143,3001,27436,0.0,0.0,1.0972705010518232e-08,True
110,lab_aPTT_p0.9,1,3,44258913.5,1.3391457315508025e-11,0.5375439258012795,0.07508785160255904,0.5102256344922386,0.48977436550776143,3001,27436,8.918746461228366e-05,0.0008918746461228366,5.150560505964625e-11,True
111,lab_pO2_p0.1,1,3,4170344.0,0.3800832338381769,0.5082008565829248,0.016401713165849596,0.14408086632916486,0.8559191336708352,1094,7501,0.002017298619857222,0.020172986198572218,0.4438419867238073,False
112,lab_pO2_p0.5,1,3,4268520.5,0.03090826096163546,0.520164709300186,0.04032941860037198,0.14408086632916486,0.8559191336708352,1094,7501,0.0,0.0,0.045453324943581556,True
113,lab_pO2_p0.9,1,3,4314385.5,0.005842997372040709,0.5257538482985937,0.05150769659718746,0.14408086632916486,0.8559191336708352,1094,7501,0.0022835128576996766,0.022835128576996766,0.009526626150066374,True
114,lab_pCO2_p0.1,1,3,3736472.0,0.9514512582037614,0.4994170416833575,0.0011659166332850246,0.13792872229858852,0.8620712777014115,1041,7187,0.0037662337054351624,0.037662337054351624,0.9578368371178807,False
115,lab_pCO2_p0.5,1,3,3850585.5,0.12545851351676549,0.5146694580231919,0.029338916046383723,0.13792872229858852,0.8620712777014115,1041,7187,0.0008234130486088898,0.008234130486088898,0.1636415393696941,False
116,lab_pCO2_p0.9,1,3,3989584.5,0.0005149915455506417,0.5332480715861853,0.06649614317237051,0.13792872229858852,0.8620712777014115,1041,7187,0.0015649542537352623,0.015649542537352623,0.0009656091479074532,True
117,lab_sodium_p0.1,1,3,38713329.5,8.511209326563471e-19,0.4516751699951074,0.09664966000978525,0.5174506319777383,0.48254936802226167,3085,27783,0.0027374854710269236,0.027374854710269236,5.319505829102169e-18,True
118,lab_sodium_p0.5,1,3,40034482.0,1.5666102339966286e-09,0.4670892867278715,0.06582142654425704,0.5174506319777383,0.48254936802226167,3085,27783,0.0007848712094329358,0.007848712094329358,5.222034113322096e-09,True
119,lab_sodium_p0.9,1,3,41190880.0,0.000373457794222754,0.48058118396269867,0.03883763207460267,0.5174506319777383,0.48254936802226167,3085,27783,0.003199861214084221,0.03199861214084221,0.0007181880658129884,True
120,lab_crp_p0.1,1,3,24311595.5,9.493018914476725e-10,0.5394559383621839,0.07891187672436772,0.3771079894055721,0.6228920105944279,2223,20273,0.0011860294492382906,0.011860294492382906,3.2362564481170655e-09,True
121,lab_crp_p0.5,1,3,24375943.0,2.3110778751875747e-10,0.5408837607769555,0.0817675215539111,0.3771079894055721,0.6228920105944279,2223,20273,0.0013307994913824839,0.013307994913824839,8.253849554241337e-10,True
122,lab_crp_p0.9,1,3,24377160.5,2.2493153990816383e-10,0.5409107761822157,0.08182155236443145,0.3771079894055721,0.6228920105944279,2223,20273,0.003995909597006131,0.03995909597006131,8.22920267956697e-10,True
123,lab_ca_p0.1,1,3,2440188.0,6.8443720410071424e-09,0.43680680163195634,0.12638639673608731,0.1336875984845945,0.8663124015154056,776,7199,0.002251198920576014,0.02251198920576014,2.0984262224675372e-08,True
124,lab_ca_p0.5,1,3,2439360.5,6.3060177016712764e-09,0.43665867467274233,0.12668265065451534,0.1336875984845945,0.8663124015154056,776,7199,0.003167561897026383,0.03167561897026383,2.012558840958918e-08,True
125,lab_ca_p0.9,1,3,2440207.0,6.854858993393955e-09,0.4368102027343431,0.12637959453131375,0.1336875984845945,0.8663124015154056,776,7199,0.0024980600108561735,0.024980600108561735,2.0984262224675372e-08,True
126,lab_potassium_p0.1,1,3,43276735.0,0.7911880508136361,0.5014450016952275,0.002890003390455087,0.5187916987963925,0.48120830120360747,3099,27849,0.003166966171308516,0.03166966171308516,0.8128644357674343,False
127,lab_potassium_p0.5,1,3,44443844.5,0.00606130882741158,0.5149682313290254,0.029936462658050722,0.5187916987963925,0.48120830120360747,3099,27849,0.0007680173122230904,0.007680173122230904,0.009776304560341257,True
128,lab_potassium_p0.9,1,3,45758618.0,3.125005293241653e-08,0.5302024351093323,0.060404870218664586,0.5187916987963925,0.48120830120360747,3099,27849,1.573388210185378e-05,0.0001573388210185378,9.191192038946037e-08,True
129,lab_plate_p0.1,1,3,46439211.0,5.56312390649577e-05,0.4783598591163017,0.04328028176739662,0.562912797130117,0.437087202869883,3195,30385,0.0008310114554936909,0.00831011455493691,0.000122715968525642,True
130,lab_plate_p0.5,1,3,47119286.0,0.006413875879810617,0.48536515860746915,0.0292696827850617,0.562912797130117,0.437087202869883,3195,30385,0.0,0.0,0.010228895511297877,True
131,lab_plate_p0.9,1,3,47986406.5,0.2881506011184056,0.4942971716904834,0.011405656619033255,0.562912797130117,0.437087202869883,3195,30385,0.0,0.0,0.34578072134208676,False
132,lab_bili_p0.1,1,3,2572320.0,0.515668303177564,0.5073089150619661,0.01461783012393214,0.1289603379488383,0.8710396620511617,728,6965,0.0,0.0,0.5729647813084043,False
